year,state_min_wage,state,lh_employment,federal_min_wage,eff_min_wage,log_min_wage,log_employment,minwage_change
2016,8.05,AZ,309.65833333333336,7.25,8.05,2.0856720914304723,5.735469539127011,0.0
2017,10.0,AZ,319.875,7.25,10.0,2.302585092994046,5.767930294479953,1.9499999999999993
2018,10.5,AZ,326.15833333333336,7.25,10.5,2.3513752571634776,5.787382948531463,0.5
2019,11.0,AZ,331.84999999999997,7.25,11.0,2.3978952727983707,5.804683059591934,0.5
2020,12.0,AZ,274.90000000000003,7.25,12.0,2.4849066497880004,5.6164073951712,1.0
2021,12.15,AZ,305.81666666666666,7.25,12.15,2.4973291697865574,5.722985793862853,0.15000000000000036
2022,12.8,AZ,337.8833333333333,7.25,12.8,2.5494451709255714,5.822700668246093,0.6500000000000004
2023,13.85,AZ,357.0333333333333,7.25,13.85,2.6282852326333477,5.8778291481024745,1.049999999999999
2000,5.75,CA,1336.6916666666666,5.15,5.75,1.749199854809259,7.197952934699497,
2001,6.25,CA,1366.5416666666667,5.15,6.25,1.8325814637483102,7.220038496426622,0.5
2002,6.75,CA,1383.825,5.15,6.75,1.9095425048844386,7.232606683096056,0.5
2003,6.75,CA,1401.05,5.15,6.75,1.9095425048844386,7.244977234493896,0.0
2004,6.75,CA,1439.5,5.15,6.75,1.9095425048844386,7.272051110052231,0.0
2005,6.75,CA,1475.075,5.15,6.75,1.9095425048844386,7.29646411493886,0.0
2006,6.75,CA,1519.4083333333335,5.15,6.75,1.9095425048844386,7.326076283675203,0.0
2007,7.5,CA,1560.5833333333333,5.85,7.5,2.0149030205422647,7.352814961972508,0.75
2008,8.0,CA,1573.1416666666667,6.55,8.0,2.0794415416798357,7.3608299604566865,0.5
2009,8.0,CA,1503.1000000000001,7.25,8.0,2.0794415416798357,7.31528492113918,0.0
2010,8.0,CA,1500.575,7.25,8.0,2.0794415416798357,7.313603646970184,0.0
2011,8.0,CA,1534.8083333333334,7.25,8.0,2.0794415416798357,7.336160787947146,0.0
